Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3995|2011396|240|2022-08-12|66c740a5-a259-421c-b237-86f5e7b2fd01|DPU|USD|1993.26|1993.26|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-16 15:10:05|
3947|2029480|521|2022-08-03|COVE2259FI743|DAP| |0.00|0.00| | |GB278598093|V.J. GOODALL LIMITED||||||2022-08-08 13:17:02|
3995|2011555|240|2022-08-18|17254e40-d677-487f-a38b-5ceb8b623a83|DPU|USD|21582.18|21582.18|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-18 16:32:03|
3995|2011020|240|2022-08-04|2758806a-4011-481e-ab00-ec61b1374dc7|DPU|USD|468.12|468.12|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-05 17:18:10|
3752|2052575|370|2022-08-11|C0F67046-E16E-4401-AF43-DCD72C76D5B8|DPU|USD|49054.20|49054.20|HND| |04131980002480|WILMER ARMANDO MOLINA MARTINEZ|LA ENTRADA COPAN, COLONIA MIRAFLORES, ATRAS DE PLAZA VIRGINIA COPAN LA ENTREDA|SN|SN|0|COPAN, HONDURAS|2022-08-17 14:13:00|
3995|2012104|240|2022-08-27|50cca495-8ee2-4994-b956-181a992003b4|DPU|USD|3806.04|3806.04|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-29 16:03:03|
3752|2051790|370|2022-05-26|976207a9-98b9-43c8-8635-27f5a55a2ee0|DPU|USD|53848.58|53848.58|HND| |5019995122957|DISTRIBUCIONES UNIVERSALES SA DE CV|1ERA CALLE ENTRE 11-12 AVE COLONIA SAN FERNANDO, HONDURAS|SN|SN|00447|SAN PEDRO SULA|2022-08-05 19:37:02|
3995|2011396|240|2022-08-12|2e60f86a-a362-4afd-9d67-68349894ea9b|DPU|USD|494.76|494.76|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-16 15:10:05|
3995|2011944|240|2022-08-25|d0d67690-ad82-4c6b-b18e-9e5af4d8426e|DPU|USD|194.40|194.40|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-25 16:23:05|
3995|2010879|240|2022-08-01|68ae7506-9080-4293-a1d4-cab53be82e98|DPU|USD|1380.00|1380.00|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-02 16:38:08|
3995|2011944|240|2022-08-25|a15e1814-ef66-4721-a3f4-ae092075b32d|DPU|USD|1434.24|1434.24|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-25 16:23:05|
3995|2011707|240|2022-08-19|453978a0-d8dd-4303-abc4-ced62d2165ff|DPU|USD|5034.00|5034.00|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-23 10:23:01|
3995|2010795|240|2022-07-29|f37466f7-c642-476c-81c6-23ca4254db1c|DPU|USD|19180.80|19180.80|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-01 17:27:02|
3995|2011271|240|2022-08-11|c5d7f04c-f567-4fc4-9190-d5250391ddcb|DPU|USD|6128.64|6128.64|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-12 11:09:05|
3995|2010801|240|2022-07-29|9c96f3f2-822d-4bf1-be0a-7fe2ea7f7bb3|DPU|USD|26722.80|26722.80|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-02 14:03:06|
3995|2011396|240|2022-08-12|6ca9c20b-ec96-4aa8-a4bf-6eb6dae7e088|DPU|USD|2155.20|2155.20|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-16 15:10:05|
3995|2011509|240|2022-08-16|3a468dfa-7a8c-4e54-bf59-efedfd709536|DPU|USD|5797.44|5797.44|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-17 18:36:11|
3995|2011008|240|2022-07-29|e1d1cbf7-5307-4e30-a0a1-c5b02fb6b241|DPU|USD|63436.52|63436.52|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-05 10:52:01|
3995|2011813|240|2022-08-20|c3b4ce9c-ba80-4abf-a236-8dc86ab08bb3|DPU|USD|19180.80|19180.80|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-24 11:32:08|
3995|2011029|240|2022-08-05|80c569a9-bd2f-4ab8-b3a4-18c689eb32ba|DPU|USD|4590.00|4590.00|USA| |461262251|CINSA USA INC|US HWY 281 N|SUITE 230|18402|78259|SAN ANTONIO|2022-08-08 16:33:06|
3752|2052584|370|2022-06-10|9FD2DCBC-8413-4A7A-BFCC-B1C59E3C6794|DPU|USD|53464.06|53464.06|HND| |5019995122957|DISTRIBUCIONES UNIVERSALES SA DE CV|1ERA CALLE ENTRE 11-12 AVE COLONIA SAN FERNANDO, HONDURAS|SN|SN|00447|SAN PEDRO SULA|2022-08-18 15:55:01|
