Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3878|3007133|240|2023-05-16|e91de94a-467c-443a-b8c9-eb0e9e63be68|EXW|USD|60918.66|60918.66|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-25 18:25:11|
3878|3007042|240|2023-05-10|90a623da-cff2-4fd4-9bcf-053f835b3594|EXW|USD|57665.08|57665.08|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-18 10:57:20|
3699|3023603|430|2023-04-15|f2105038-4d49-4d25-9b83-cbba94097ff2|FCA|USD|8282.40|8282.40|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-03 15:08:03|
3699|3023602|430|2023-04-15|90cf4c7e-dcc2-4f31-97c1-1c6f8c3afdac|FCA|USD|3114.00|3114.00|MEX| |DE129273398|BMW AG|HEIDEMANNSTR.||164|80939|MUNCHEN|2023-05-03 15:08:03|
3878|3007249|240|2023-05-20|9ba4ab67-ff58-4a64-a996-d30589eecfed|EXW|USD|19186.20|19186.20|USA| |31-0995787|BENTELER AUTOMOTIVE|N. OPDYKE RD, BUILDING B||2650|48326|AUBURN HILLS|2023-05-21 10:48:01|
3579|3018458|240|2023-05-23|1A01B247-3C50-4F61-AE6A-6452ED2CFC4D|FCA|USD|971.04|971.04|MEX| |22-3190143|BMW CONSOLIDATION SERVICES CO., LLC|FREEMAN FARM RD||1331|29651|GREER|2023-05-24 17:10:03|
1766|3001555|640|2023-05-08|COVE235SRO3H6|EXW| |0.00|0.00| | |B75206383|AFHER 1988,S.L.||||||2023-05-15 20:00:28|
3694|3037491|750|2023-04-29|11cf7e66-63ae-4676-aa33-8bb50afbab7c|DAP|USD|1936.80|1936.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3694|3037491|750|2023-04-22|4c062146-13de-4594-9f9b-0b2d412f4b8d|DAP|USD|1936.80|1936.80|MEX| |TIS820222I14|DRAXTON MEXICO S. DE R.L. DE C.V.|AV. PROMOCION|S/N|145|78395|SAN LUIS POTOSI|2023-05-15 11:47:00|
3682|3004123|240|2023-04-29|d97cc0ba-edef-40e2-9655-62ce4a655dfd|FCA|USD|3973.20|3973.20|USA| |611462969|ZF NORTH AMERICA INC|CENTENNIAL DRIVE||15811|48168|NORTHVILLE|2023-05-12 14:33:15|
